instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekend
58,2011-02-27,Spring,2011,Feb,0,Sunday,0,Clear or Partly Cloudy,14.082598,17.55545,0.68,0.125248,694,1708,2402,1
59,2011-02-28,Spring,2011,Feb,0,Monday,1,Mist or Cloudy,16.698193,20.005899999999997,0.876364,0.289686,81,1365,1446,0
60,2011-03-01,Spring,2011,Mar,0,Tuesday,1,Clear or Partly Cloudy,10.933347,13.19395,0.535,0.216425,137,1714,1851,0
61,2011-03-02,Spring,2011,Mar,0,Wednesday,1,Clear or Partly Cloudy,13.735000000000001,16.00355,0.449583,0.307833,231,1903,2134,0
62,2011-03-03,Spring,2011,Mar,0,Thursday,1,Clear or Partly Cloudy,8.131653,10.00665,0.318333,0.225754,123,1562,1685,0
63,2011-03-04,Spring,2011,Mar,0,Friday,1,Mist or Cloudy,10.728347,12.783949999999999,0.610417,0.203346,214,1730,1944,0
64,2011-03-05,Spring,2011,Mar,0,Saturday,0,Mist or Cloudy,15.750846999999998,18.93895,0.789167,0.251871,640,1437,2077,1
65,2011-03-06,Spring,2011,Mar,0,Sunday,0,Mist or Cloudy,15.437402,18.3126,0.948261,0.343287,114,491,605,1
66,2011-03-07,Spring,2011,Mar,0,Monday,1,Clear or Partly Cloudy,10.731299,11.92305,0.551304,0.341352,244,1628,1872,0
67,2011-03-08,Spring,2011,Mar,0,Tuesday,1,Clear or Partly Cloudy,11.9925,15.120000000000001,0.420833,0.12065,316,1817,2133,0
68,2011-03-09,Spring,2011,Mar,0,Wednesday,1,Mist or Cloudy,12.129153,14.3304,0.775417,0.22015,191,1700,1891,0
69,2011-03-10,Spring,2011,Mar,0,Thursday,1,Light Snow or Rain,15.952731,19.2834,0.0,0.261877,46,577,623,0
70,2011-03-11,Spring,2011,Mar,0,Friday,1,Mist or Cloudy,12.977402000000001,15.25,0.649565,0.23297,247,1730,1977,0
71,2011-03-12,Spring,2011,Mar,0,Saturday,0,Clear or Partly Cloudy,13.495847,16.287499999999998,0.594583,0.220775,724,1408,2132,1
72,2011-03-13,Spring,2011,Mar,0,Sunday,0,Clear or Partly Cloudy,15.758268000000001,19.004550000000002,0.527391,0.270604,982,1435,2417,1
73,2011-03-14,Spring,2011,Mar,0,Monday,1,Clear or Partly Cloudy,13.333896999999999,16.6,0.496957,0.136926,359,1687,2046,0
74,2011-03-15,Spring,2011,Mar,0,Tuesday,1,Mist or Cloudy,13.013031,15.908900000000001,0.655652,0.184309,289,1767,2056,0
75,2011-03-16,Spring,2011,Mar,0,Wednesday,1,Mist or Cloudy,14.973897000000001,18.3465,0.776522,0.203117,321,1871,2192,0
76,2011-03-17,Spring,2011,Mar,0,Thursday,1,Clear or Partly Cloudy,17.015,20.51665,0.602917,0.209579,424,2320,2744,0
77,2011-03-18,Spring,2011,Mar,0,Friday,1,Clear or Partly Cloudy,22.14,26.35045,0.525217,0.231017,884,2355,3239,0
78,2011-03-19,Spring,2011,Mar,0,Saturday,0,Clear or Partly Cloudy,19.3725,23.32625,0.379167,0.368167,1424,1693,3117,1
79,2011-03-20,Spring,2011,Mar,0,Sunday,0,Clear or Partly Cloudy,13.6325,16.287499999999998,0.47375,0.207721,1047,1424,2471,1
80,2011-03-21,Summer,2011,Mar,0,Monday,1,Mist or Cloudy,17.647835,20.48675,0.737391,0.288783,401,1676,2077,0
81,2011-03-22,Summer,2011,Mar,0,Tuesday,1,Clear or Partly Cloudy,18.108347,22.0321,0.624583,0.22575,460,2243,2703,0
82,2011-03-23,Summer,2011,Mar,0,Wednesday,1,Mist or Cloudy,14.225237,16.89695,0.839565,0.234261,203,1918,2121,0
83,2011-03-24,Summer,2011,Mar,0,Thursday,1,Mist or Cloudy,11.684999999999999,13.541649999999999,0.805833,0.243787,166,1699,1865,0
84,2011-03-25,Summer,2011,Mar,0,Friday,1,Clear or Partly Cloudy,10.830846999999999,12.8156,0.495,0.230725,300,1910,2210,0
85,2011-03-26,Summer,2011,Mar,0,Saturday,0,Clear or Partly Cloudy,10.899153,12.87855,0.394167,0.209571,981,1515,2496,1
86,2011-03-27,Summer,2011,Mar,0,Sunday,0,Mist or Cloudy,10.374763000000002,12.51695,0.493913,0.1843,472,1221,1693,1
87,2011-03-28,Summer,2011,Mar,0,Monday,1,Clear or Partly Cloudy,10.838268000000001,12.878700000000002,0.302174,0.212204,222,1806,2028,0
88,2011-03-29,Summer,2011,Mar,0,Tuesday,1,Clear or Partly Cloudy,12.4025,14.6454,0.314167,0.226996,317,2108,2425,0
89,2011-03-30,Summer,2011,Mar,0,Wednesday,1,Mist or Cloudy,12.299999999999999,14.8675,0.646667,0.172888,168,1368,1536,0
90,2011-03-31,Summer,2011,Mar,0,Thursday,1,Light Snow or Rain,11.001653,12.87875,0.918333,0.217646,179,1506,1685,0
91,2011-04-01,Summer,2011,Apr,0,Friday,1,Mist or Cloudy,12.299999999999999,14.172699999999999,0.68625,0.258708,307,1920,2227,0
92,2011-04-02,Summer,2011,Apr,0,Saturday,0,Mist or Cloudy,12.915000000000001,15.78185,0.65375,0.197146,898,1354,2252,1
93,2011-04-03,Summer,2011,Apr,0,Sunday,0,Clear or Partly Cloudy,15.511652999999999,18.93835,0.48,0.182213,1651,1598,3249,1
94,2011-04-04,Summer,2011,Apr,0,Monday,1,Clear or Partly Cloudy,23.506653,27.14645,0.42625,0.385571,734,2381,3115,0
95,2011-04-05,Summer,2011,Apr,0,Tuesday,1,Mist or Cloudy,16.980847,19.9175,0.642083,0.388067,167,1628,1795,0
96,2011-04-06,Summer,2011,Apr,0,Wednesday,1,Clear or Partly Cloudy,16.024153,19.3804,0.470833,0.263063,413,2395,2808,0
97,2011-04-07,Summer,2011,Apr,0,Thursday,1,Clear or Partly Cloudy,17.9375,21.684800000000003,0.602917,0.162312,571,2570,3141,0
98,2011-04-08,Summer,2011,Apr,0,Friday,1,Mist or Cloudy,13.769153,16.223950000000002,0.83625,0.226992,172,1299,1471,0
99,2011-04-09,Summer,2011,Apr,0,Saturday,0,Mist or Cloudy,14.0425,17.07645,0.8775,0.133083,879,1576,2455,1
100,2011-04-10,Summer,2011,Apr,0,Sunday,0,Mist or Cloudy,17.493347,21.33685,0.8575,0.146767,1188,1707,2895,1
101,2011-04-11,Summer,2011,Apr,0,Monday,1,Mist or Cloudy,24.421732,28.260849999999998,0.716956,0.324474,855,2493,3348,0
102,2011-04-12,Summer,2011,Apr,0,Tuesday,1,Mist or Cloudy,20.6025,24.6527,0.739167,0.274879,257,1777,2034,0
103,2011-04-13,Summer,2011,Apr,0,Wednesday,1,Mist or Cloudy,16.912499999999998,20.864150000000002,0.819167,0.250617,209,1953,2162,0
104,2011-04-14,Summer,2011,Apr,0,Thursday,1,Clear or Partly Cloudy,19.1675,23.1371,0.540417,0.1107,529,2738,3267,0
105,2011-04-15,Summer,2011,Apr,1,Friday,0,Clear or Partly Cloudy,18.313347,22.09565,0.67125,0.226375,642,2484,3126,0
106,2011-04-16,Summer,2011,Apr,0,Saturday,0,Light Snow or Rain,17.664153000000002,21.2746,0.888333,0.340808,121,674,795,1
107,2011-04-17,Summer,2011,Apr,0,Sunday,0,Clear or Partly Cloudy,18.723347,22.2848,0.479583,0.303496,1558,2186,3744,1
108,2011-04-18,Summer,2011,Apr,0,Monday,1,Clear or Partly Cloudy,21.0125,25.1573,0.5425,0.163567,669,2760,3429,0
109,2011-04-19,Summer,2011,Apr,0,Tuesday,1,Mist or Cloudy,20.739152999999998,24.4629,0.665833,0.157971,409,2795,3204,0
110,2011-04-20,Summer,2011,Apr,0,Wednesday,1,Clear or Partly Cloudy,24.395,28.2196,0.614167,0.241925,613,3331,3944,0
111,2011-04-21,Summer,2011,Apr,0,Thursday,1,Clear or Partly Cloudy,18.825847,22.6946,0.407083,0.325258,745,3444,4189,0
112,2011-04-22,Summer,2011,Apr,0,Friday,1,Mist or Cloudy,13.803347,16.0977,0.729583,0.219521,177,1506,1683,0
113,2011-04-23,Summer,2011,Apr,0,Saturday,0,Mist or Cloudy,18.86,22.50605,0.887917,0.230725,1462,2574,4036,1
114,2011-04-24,Summer,2011,Apr,0,Sunday,0,Mist or Cloudy,23.848347,27.58815,0.810833,0.192175,1710,2481,4191,1
115,2011-04-25,Summer,2011,Apr,0,Monday,1,Clear or Partly Cloudy,24.873347,28.725,0.776667,0.185333,773,3300,4073,0
116,2011-04-26,Summer,2011,Apr,0,Tuesday,1,Clear or Partly Cloudy,25.898346999999998,29.704150000000002,0.729167,0.3265,678,3722,4400,0
117,2011-04-27,Summer,2011,Apr,0,Wednesday,1,Mist or Cloudy,25.419999999999998,28.7571,0.835417,0.3122,547,3325,3872,0
118,2011-04-28,Summer,2011,Apr,0,Thursday,1,Mist or Cloudy,25.317500000000003,28.946450000000002,0.700833,0.320908,569,3489,4058,0
119,2011-04-29,Summer,2011,Apr,0,Friday,1,Clear or Partly Cloudy,20.91,24.87315,0.457083,0.240063,878,3717,4595,0
120,2011-04-30,Summer,2011,Apr,0,Saturday,0,Clear or Partly Cloudy,19.3725,23.201050000000002,0.503333,0.235075,1965,3347,5312,1
121,2011-05-01,Summer,2011,May,0,Sunday,0,Mist or Cloudy,18.518347,22.4102,0.762083,0.106354,1138,2213,3351,1
122,2011-05-02,Summer,2011,May,0,Monday,1,Mist or Cloudy,22.515846999999997,26.64165,0.73,0.183454,847,3554,4401,0
123,2011-05-03,Summer,2011,May,0,Tuesday,1,Mist or Cloudy,25.283347,29.10395,0.697083,0.342667,603,3848,4451,0
124,2011-05-04,Summer,2011,May,0,Wednesday,1,Mist or Cloudy,16.980847,20.2325,0.737083,0.328996,255,2378,2633,0
125,2011-05-05,Summer,2011,May,0,Thursday,1,Clear or Partly Cloudy,18.825847,22.09585,0.444167,0.295392,614,3819,4433,0
126,2011-05-06,Summer,2011,May,0,Friday,1,Clear or Partly Cloudy,19.645847,23.70585,0.59,0.228246,894,3714,4608,0
127,2011-05-07,Summer,2011,May,0,Saturday,0,Clear or Partly Cloudy,21.32,25.63105,0.54125,0.16045,1612,3102,4714,1
128,2011-05-08,Summer,2011,May,0,Sunday,0,Clear or Partly Cloudy,21.661653,25.946649999999998,0.631667,0.0746375,1401,2932,4333,1
129,2011-05-09,Summer,2011,May,0,Monday,1,Clear or Partly Cloudy,21.8325,26.2623,0.58875,0.176,664,3698,4362,0
130,2011-05-10,Summer,2011,May,0,Tuesday,1,Clear or Partly Cloudy,21.8325,26.13605,0.489167,0.115671,694,4109,4803,0
131,2011-05-11,Summer,2011,May,0,Wednesday,1,Clear or Partly Cloudy,22.2425,26.419999999999998,0.632917,0.120642,550,3632,4182,0
132,2011-05-12,Summer,2011,May,0,Thursday,1,Clear or Partly Cloudy,21.935000000000002,26.16815,0.7475,0.189667,695,4169,4864,0
133,2011-05-13,Summer,2011,May,0,Friday,1,Mist or Cloudy,21.0125,24.715,0.863333,0.179725,692,3413,4105,0
134,2011-05-14,Summer,2011,May,0,Saturday,0,Mist or Cloudy,21.354153,25.03145,0.9225,0.13495,902,2507,3409,1
135,2011-05-15,Summer,2011,May,0,Sunday,0,Mist or Cloudy,23.0625,26.8,0.867083,0.152979,1582,2971,4553,1
136,2011-05-16,Summer,2011,May,0,Monday,1,Clear or Partly Cloudy,23.677500000000002,27.5256,0.787917,0.126871,773,3185,3958,0
137,2011-05-17,Summer,2011,May,0,Tuesday,1,Mist or Cloudy,23.028347,26.926450000000003,0.837917,0.277354,678,3445,4123,0
138,2011-05-18,Summer,2011,May,0,Wednesday,1,Mist or Cloudy,22.55,26.3579,0.87,0.201492,536,3319,3855,0
139,2011-05-19,Summer,2011,May,0,Thursday,1,Mist or Cloudy,21.764153,25.537100000000002,0.829583,0.108213,735,3840,4575,0
140,2011-05-20,Summer,2011,May,0,Friday,1,Clear or Partly Cloudy,22.003347,26.4521,0.719583,0.125013,909,4008,4917,0
141,2011-05-21,Summer,2011,May,0,Saturday,0,Clear or Partly Cloudy,24.7025,28.59875,0.626667,0.12065,2258,3547,5805,1
142,2011-05-22,Summer,2011,May,0,Sunday,0,Clear or Partly Cloudy,24.770847,28.725,0.749583,0.148008,1576,3084,4660,1
143,2011-05-23,Summer,2011,May,0,Monday,1,Mist or Cloudy,25.898346999999998,29.5148,0.81,0.233842,836,3438,4274,0
144,2011-05-24,Summer,2011,May,0,Tuesday,1,Mist or Cloudy,27.060000000000002,30.240650000000002,0.740833,0.207092,659,3833,4492,0
145,2011-05-25,Summer,2011,May,0,Wednesday,1,Clear or Partly Cloudy,27.094153,30.7771,0.69625,0.154233,740,4238,4978,0
146,2011-05-26,Summer,2011,May,0,Thursday,1,Clear or Partly Cloudy,29.041653,32.7344,0.6775,0.199642,758,3919,4677,0
147,2011-05-27,Summer,2011,May,0,Friday,1,Clear or Partly Cloudy,27.948347000000002,31.8504,0.65375,0.240679,871,3808,4679,0
148,2011-05-28,Summer,2011,May,0,Saturday,0,Clear or Partly Cloudy,26.889153,30.61895,0.729583,0.230092,2001,2757,4758,1
149,2011-05-29,Summer,2011,May,0,Sunday,0,Clear or Partly Cloudy,27.3675,30.777500000000003,0.81875,0.213938,2355,2433,4788,1
150,2011-05-30,Summer,2011,May,1,Monday,0,Clear or Partly Cloudy,30.066653000000002,33.5546,0.685,0.131225,1549,2549,4098,0
151,2011-05-31,Summer,2011,May,0,Tuesday,1,Clear or Partly Cloudy,31.775000000000002,36.26915,0.636667,0.111329,673,3309,3982,0
152,2011-06-01,Summer,2011,Jun,0,Wednesday,1,Mist or Cloudy,31.330847000000002,36.04835,0.677083,0.207092,513,3461,3974,0
153,2011-06-02,Summer,2011,Jun,0,Thursday,1,Clear or Partly Cloudy,29.314999999999998,32.1971,0.305,0.292287,736,4232,4968,0
154,2011-06-03,Summer,2011,Jun,0,Friday,1,Clear or Partly Cloudy,25.419999999999998,29.356650000000002,0.354167,0.253121,898,4414,5312,0
155,2011-06-04,Summer,2011,Jun,0,Saturday,0,Clear or Partly Cloudy,26.035,29.7348,0.45625,0.123142,1869,3473,5342,1
156,2011-06-05,Summer,2011,Jun,0,Sunday,0,Mist or Cloudy,26.581653000000003,30.8402,0.6525,0.138692,1685,3221,4906,1
157,2011-06-06,Summer,2011,Jun,0,Monday,1,Clear or Partly Cloudy,27.811653,31.0929,0.6,0.121896,673,3875,4548,0
158,2011-06-07,Summer,2011,Jun,0,Tuesday,1,Clear or Partly Cloudy,29.0075,32.7975,0.597917,0.187808,763,4070,4833,0
159,2011-06-08,Summer,2011,Jun,0,Wednesday,1,Clear or Partly Cloudy,31.809153,36.36395,0.622083,0.136817,676,3725,4401,0
160,2011-06-09,Summer,2011,Jun,0,Thursday,1,Mist or Cloudy,33.141653,37.87895,0.568333,0.149883,563,3352,3915,0
161,2011-06-10,Summer,2011,Jun,0,Friday,1,Clear or Partly Cloudy,30.955000000000002,35.1646,0.605,0.140554,815,3771,4586,0
162,2011-06-11,Summer,2011,Jun,0,Saturday,0,Clear or Partly Cloudy,29.724999999999998,33.901900000000005,0.654583,0.15485,1729,3237,4966,1
163,2011-06-12,Summer,2011,Jun,0,Sunday,0,Clear or Partly Cloudy,28.392500000000002,32.166250000000005,0.747917,0.163567,1467,2993,4460,1
164,2011-06-13,Summer,2011,Jun,0,Monday,1,Clear or Partly Cloudy,26.035,30.082700000000003,0.494583,0.30535,863,4157,5020,0
165,2011-06-14,Summer,2011,Jun,0,Tuesday,1,Clear or Partly Cloudy,24.770847,29.5773,0.507083,0.269283,727,4164,4891,0
166,2011-06-15,Summer,2011,Jun,0,Wednesday,1,Clear or Partly Cloudy,25.693347,29.3877,0.471667,0.167912,769,4411,5180,0
167,2011-06-16,Summer,2011,Jun,0,Thursday,1,Mist or Cloudy,25.761653000000003,29.767300000000002,0.688333,0.206471,545,3222,3767,0
168,2011-06-17,Summer,2011,Jun,0,Friday,1,Clear or Partly Cloudy,26.615847000000002,30.01915,0.735833,0.143029,863,3981,4844,0
169,2011-06-18,Summer,2011,Jun,0,Saturday,0,Clear or Partly Cloudy,28.563347,32.197700000000005,0.670417,0.119408,1807,3312,5119,1
170,2011-06-19,Summer,2011,Jun,0,Sunday,0,Mist or Cloudy,28.665847,32.292300000000004,0.666667,0.102,1639,3105,4744,1
171,2011-06-20,Summer,2011,Jun,0,Monday,1,Mist or Cloudy,26.035,29.767300000000002,0.74625,0.155475,699,3311,4010,0
172,2011-06-21,Fall,2011,Jun,0,Tuesday,1,Mist or Cloudy,27.914153000000002,31.8823,0.770417,0.171025,774,4061,4835,0
173,2011-06-22,Fall,2011,Jun,0,Wednesday,1,Clear or Partly Cloudy,30.066653000000002,34.69145,0.7075,0.172262,661,3846,4507,0
174,2011-06-23,Fall,2011,Jun,0,Thursday,1,Mist or Cloudy,29.861653,34.69165,0.703333,0.238804,746,4044,4790,0
175,2011-06-24,Fall,2011,Jun,0,Friday,1,Clear or Partly Cloudy,29.690847,32.82915,0.573333,0.222025,969,4022,4991,0
176,2011-06-25,Fall,2011,Jun,0,Saturday,0,Clear or Partly Cloudy,28.494999999999997,32.16565,0.483333,0.209571,1782,3420,5202,1
177,2011-06-26,Fall,2011,Jun,0,Sunday,0,Clear or Partly Cloudy,27.880000000000003,31.88145,0.513333,0.0945333,1920,3385,5305,1
178,2011-06-27,Fall,2011,Jun,0,Monday,1,Mist or Cloudy,27.982499999999998,31.8502,0.658333,0.107588,854,3854,4708,0
179,2011-06-28,Fall,2011,Jun,0,Tuesday,1,Clear or Partly Cloudy,30.510847000000002,34.6279,0.634167,0.144283,732,3916,4648,0
180,2011-06-29,Fall,2011,Jun,0,Wednesday,1,Clear or Partly Cloudy,29.861653,32.7344,0.497917,0.261821,848,4377,5225,0
181,2011-06-30,Fall,2011,Jun,0,Thursday,1,Clear or Partly Cloudy,28.563347,31.8504,0.434167,0.185312,1027,4488,5515,0
182,2011-07-01,Fall,2011,Jul,0,Friday,1,Clear or Partly Cloudy,29.622500000000002,32.6081,0.39625,0.102608,1246,4116,5362,0
183,2011-07-02,Fall,2011,Jul,0,Saturday,0,Clear or Partly Cloudy,30.271653,33.3654,0.444583,0.115062,2204,2915,5119,1
184,2011-07-03,Fall,2011,Jul,0,Sunday,0,Mist or Cloudy,29.383347,33.42875,0.6825,0.228858,2282,2367,4649,1
185,2011-07-04,Fall,2011,Jul,1,Monday,0,Mist or Cloudy,29.793346999999997,33.27085,0.637917,0.0814792,3065,2978,6043,0
186,2011-07-05,Fall,2011,Jul,0,Tuesday,1,Clear or Partly Cloudy,30.613346999999997,34.816900000000004,0.590417,0.126258,1031,3634,4665,0
187,2011-07-06,Fall,2011,Jul,0,Wednesday,1,Clear or Partly Cloudy,29.52,34.28165,0.743333,0.149883,784,3845,4629,0
188,2011-07-07,Fall,2011,Jul,0,Thursday,1,Clear or Partly Cloudy,30.75,34.34355,0.65125,0.1592,754,3838,4592,0
189,2011-07-08,Fall,2011,Jul,0,Friday,1,Mist or Cloudy,29.075847,33.524150000000006,0.757917,0.225129,692,3348,4040,0
190,2011-07-09,Fall,2011,Jul,0,Saturday,0,Clear or Partly Cloudy,30.066653000000002,33.2079,0.609167,0.167912,1988,3348,5336,1
191,2011-07-10,Fall,2011,Jul,0,Sunday,0,Clear or Partly Cloudy,30.6475,34.50125,0.578333,0.183471,1743,3138,4881,1
192,2011-07-11,Fall,2011,Jul,0,Monday,1,Clear or Partly Cloudy,31.2625,36.4902,0.635833,0.282337,723,3363,4086,0
